level,trial,seed,passed,peak_error_mm,rms_error_mm,first_failure_s,failure_reason,max_beam_angle_deg,camera_delay_ms,camera_noise_mm,camera_outlier_probability,longest_camera_dropout_ms,imu_delay_ms,imu_accel_bias,state_packet_dropout_probability,actuator_time_constant_ms,actuator_command_delay_ms,actuator_gain,actuator_deadband_deg,largest_impact_impulse_mps,viscous_damping,coulomb_accel,static_friction_accel
2.0,10,20360799,True,3.615811200377899,1.0398832426817335,,none,2.979320708948455,52.20290179762889,1.4387704899393536,0.008,110.26466637785326,9.000000000000002,0.022706807269095543,0.024,49.0,8.0,0.84,0.08,0.01749093974662966,0.24107283040445232,0.021818984555460642,0.017550482190873393
2.0,11,20370806,True,3.938271478242116,0.9726798156274342,,none,2.5462873755219437,50.63243744512729,1.4628564685800713,0.008,110.46201344455397,9.000000000000002,-0.011723656468924384,0.024,49.0,8.0,0.84,0.08,0.01838325475004927,0.1326819283801054,0.020203670714588905,0.021164941578381335
3.0,0,20260729,True,6.020758346786993,1.552529782319314,,none,2.6144315000298644,59.57776369109335,1.4873339973557544,0.012,166.13061560267715,11.0,-0.007612489012166322,0.036000000000000004,61.00000000000001,12.0,0.76,0.12,0.019329342142294398,0.09471922785117781,0.027293547527010555,0.02818351234763226
3.0,1,20270736,True,5.4942851898421,1.5093342466967477,,none,2.666937657701387,51.128657351140504,1.6639273781773214,0.012,125.90735225164451,11.0,0.0262343080198457,0.036000000000000004,61.00000000000001,12.0,0.76,0.12,0.01976487138700934,0.1316901586978807,0.02203382178004127,0.02896851003233767
3.0,2,20280743,False,10.426297458590678,2.106794930327202,20.624,track_impact,2.5446852801231974,62.235630317763324,1.8106190368601016,0.012,176.88503883622175,11.0,0.03631379511681231,0.036000000000000004,61.00000000000001,12.0,0.76,0.12,0.02527547143950196,0.08226389602377177,0.022589496158809327,0.01310697698416824
3.0,3,20290750,True,7.8788369006605965,1.8775664792244942,,none,2.852624857734703,56.73989049812248,1.5161088027914749,0.012,177.66276862803298,11.0,0.022967265663640136,0.036000000000000004,61.00000000000001,12.0,0.76,0.12,0.027061933155292178,0.25875262796389714,0.01904962200420318,0.03359833158264334
3.0,4,20300757,True,5.568036543066069,1.664606519225934,,none,2.816400009499424,54.625967472526355,1.8806323003469978,0.012,178.03080704886122,11.0,-0.016806654266871827,0.036000000000000004,61.00000000000001,12.0,0.76,0.12,0.030669329793153517,0.17222030020456042,0.02052041182951605,0.012529721654335964
3.0,5,20310764,True,7.735196107414291,1.8760107483559303,,none,2.8531031231547095,58.56717535908605,1.5985287665224028,0.012,171.94612371651095,11.0,-0.04400741376440081,0.036000000000000004,61.00000000000001,12.0,0.76,0.12,0.031414880928200856,0.5102871576844499,0.018815521554860555,0.014762588719102849
3.0,6,20320771,True,6.0527161238525125,1.344004023060249,,none,2.743784063620206,55.39391732032758,1.693642719717775,0.012,157.70755953790072,11.0,0.047651876755012326,0.036000000000000004,61.00000000000001,12.0,0.76,0.12,0.025510549881440168,0.4544391636028353,0.02273575561829158,0.01823999118311515
3.0,7,20330778,True,5.565832064425599,1.4188954774896065,,none,2.632848725931022,58.32081244019908,1.5472081166842493,0.012,174.45589249221527,11.0,0.02280802302743182,0.036000000000000004,61.00000000000001,12.0,0.76,0.12,0.018632385073774214,0.23681206832443447,0.025139378212061823,0.022274479716137576
3.0,8,20340785,True,4.896147923634831,1.5877582325571844,,none,2.6922634012648405,59.79715576090995,1.7832833516669826,0.012,147.21856402919542,11.0,0.03287573325155796,0.036000000000000004,61.00000000000001,12.0,0.76,0.12,0.024484967188784873,0.4794412539948044,0.0284005759921346,0.01624857442605208
3.0,9,20350792,True,4.101937962108851,1.373954749864165,,none,2.6581601431374446,60.339783071670915,1.4782647069092625,0.012,169.2889397538462,11.0,0.004597157707525099,0.036000000000000004,61.00000000000001,12.0,0.76,0.12,0.017780837277779314,0.2283368032792426,0.018342279106769735,0.021254269439856227
3.0,10,20360799,True,8.477913905074368,2.395167997487401,,none,2.8948518791439835,61.6046905998671,1.772559308128495,0.012,165.39699956677902,11.0,0.011628616431550456,0.036000000000000004,61.00000000000001,12.0,0.76,0.12,0.027625779628823833,0.5754162935731534,0.019043785892288865,0.027749856408740496
3.0,11,20370806,False,30.84815994079391,4.679689730038908,18.907,track_impact,2.9197321643632876,60.44511369493491,1.7902137336204298,0.012,172.46546954102726,11.0,0.038737061837860014,0.036000000000000004,61.00000000000001,12.0,0.76,0.12,0.027574882125073905,0.16366398639732377,0.0162702751782444,0.03569994022013312
4.0,0,20260729,False,13.306702759092401,3.7663133954433716,0.913,friction_or_model_mismatch,2.559711812639517,69.85810093433588,2.02755650705856,0.016,221.50748747023562,13.000000000000002,-0.06378689545150287,0.048,73.00000000000001,16.0,0.6799999999999999,0.16,0.035862396451870206,0.11024290679227339,0.022251523942949478,0.03323708386414874
4.0,1,20270736,False,16.655078996750134,3.1818814027982465,0.807,friction_or_model_mismatch,2.555413431833562,57.45444361587465,1.7957812575118919,0.016,167.87646966885816,13.000000000000002,-0.05283254557099833,0.048,73.00000000000001,16.0,0.6799999999999999,0.16,0.03292974553055589,0.08940709655152174,0.03762404388394972,0.033906927953221866
4.0,2,20280743,False,18.54452877296393,4.264354381034266,1.997,track_impact,2.5576436884296223,68.61549980313048,2.16381098926941,0.016,235.84671844829685,13.000000000000002,-0.06747736414110467,0.048,73.00000000000001,16.0,0.6799999999999999,0.16,0.029910305873369677,0.1112251897678109,0.02949677894800986,0.04580869936428617
4.0,3,20290750,False,11.44084022189192,2.9196128281845235,1.25,friction_or_model_mismatch,2.5571387997164403,62.66290279654182,1.957538692102421,0.016,236.88369150404398,13.000000000000002,-0.015184406529215657,0.048,73.00000000000001,16.0,0.6799999999999999,0.16,0.03560799877158232,0.02,0.0361989422834415,0.04261328474584727
4.0,4,20300757,False,18.780046013801424,3.7804490606311134,6.872,vision_delay_or_dropout,2.550979945122409,65.67229249075926,2.1350639180653403,0.016,237.37440939848221,13.000000000000002,-0.040823614754204325,0.048,73.00000000000001,16.0,0.6799999999999999,0.16,0.030250126695562103,0.35712689870977976,0.02887664639879213,0.045857975285121325
4.0,5,20310764,True,9.325987360269362,2.3367884102928174,,none,2.556540351276442,65.5938876117614,1.7522858017386778,0.016,229.26149828868068,13.000000000000002,0.05934434301761478,0.048,73.00000000000001,16.0,0.6799999999999999,0.16,0.03529130899182142,0.6262695328835366,0.02324674385292947,0.04674106882647709
4.0,6,20320771,False,16.6349073262781,3.620479170110969,13.939,track_impact,2.5585903346054057,60.520919929115244,1.779721996224387,0.016,210.2767460505337,13.000000000000002,0.04279678921565491,0.048,73.00000000000001,16.0,0.6799999999999999,0.16,0.029936377331906586,0.04958749145715291,0.026479794999044647,0.020784659240589747
4.0,7,20330778,False,11.451151222727992,2.6495548256253936,13.554,track_impact,2.5491991590738983,57.58747066106979,2.107086726981123,0.016,232.60785665628703,13.000000000000002,-0.021685313089056458,0.048,73.00000000000001,16.0,0.6799999999999999,0.16,0.03266710630081292,0.5094244236943237,0.03579073897082265,0.032813966606507344
4.0,8,20340785,True,9.81925636779513,2.29680346801036,,none,2.482636821316941,61.62858826725918,1.8640259338920466,0.016,196.29141870559152,13.000000000000002,0.05020481599846058,0.048,73.00000000000001,16.0,0.6799999999999999,0.16,0.032424232919772485,0.1898081684181049,0.03249991622301449,0.021788981643661096
4.0,9,20350792,False,10.54218094867926,3.2661451618125703,24.407,track_impact,2.4932596200875183,62.66402723661696,2.0155552192025614,0.016,225.71858633846188,13.000000000000002,-0.02419650273207628,0.048,73.00000000000001,16.0,0.6799999999999999,0.16,0.030432439151342167,0.05039283850203713,0.031928522534280745,0.021033899625231632
4.0,10,20360799,False,19.92062435021918,4.770231061323217,1.172,friction_or_model_mismatch,2.5593626161929133,66.95413270759757,1.9950673850230933,0.016,220.52933275570473,13.000000000000002,0.07864186476241582,0.048,73.00000000000001,16.0,0.6799999999999999,0.16,0.03900870633663791,0.11628564431469085,0.03519021377379358,0.022564666634506857
4.0,11,20370806,False,10.566180243133106,2.5975688560260117,2.114,track_impact,2.502054144147709,66.38903920169649,1.81414320978789,0.016,229.95395938803398,13.000000000000002,-0.0433588188452374,0.048,73.00000000000001,16.0,0.6799999999999999,0.16,0.03515945785035316,0.2039956532283323,0.02941570984306023,0.028528255920011947
5.0,0,20260729,False,21.129647705440156,6.041223795731633,3.5500000000000003,track_impact,2.1998132014218665,70.70143589088984,2.5728414534646022,0.02,276.8843593377959,15.0,0.007731774150929627,0.06,84.99999999999999,20.0,0.6,0.2,0.04482799556483776,0.641418348972912,0.04241845843524148,0.021550254963376075
